,city,classification,code_info,country,distribution_pattern,event_id,initial_firm_notification,postal_code,product_description,product_type,reason_for_recall,recall_initiation_date,recall_number,recalling_firm,state,status,termination_date,duration,listeria,salmonella,allergen/undeclared,salad/slaw,peanut,butter,milk,ice-cream
999,Elmwood Park,Class I,dr praeger's black bean slider 10 lbs (454 kg) best if used by: may-12-2018 upc (01) 0 0080868 06615 dr praeger's sensible foods elmwood park nj 07407,United States,us nationwide and foreign,74182,letter,07407-2615, lot #f16bc-26a    vbbinsl165i  case code: n16cb-05a retail unit code: n16cb best by: 1/21/2018  case code: h16ai-08a retail unit code: h16ai best by: 3/08/2018,Food,dr praeger's sensible food/ungar's food products is voluntarily recalling various not-ready-to eat frozen products because they may be contaminated with listeria monocytogenes ,2016-05-13,F-1641-2016,dr praeger's sensible foods,NJ,Ongoing,,,1,0,0,0,0,0,0,0
1003,Tonawanda,Class I,flave! tropical trail mix net wt 8oz (226g) shipped 12 packs per case,United States,in la ma md mi nj ny pava wv & sc via retail stores,74112,two or more of the following: email fax letter press release telephone visit,14150-6727, best by 4/20/17 ,Food,product has the potential to be contaminated with listeria monocytogenes,2016-05-23,F-0699-2017,first source llc,NY,Ongoing,,,1,0,0,0,0,0,0,0
1009,Houston,Class I,green peppers net wt8oz 7oz 40oz 4 lb (sold under the harris teeter quik trip and wal-mart),United States,al fl ga ky la md ms nc sc tn va and wv,75061,two or more of the following: email fax letter press release telephone visit,77073-3302, best if used by dates between august 11 2016 through august 17 2016,Food,products may be contaminated with listeria monocytogenes,2016-08-25,F-0840-2017,country fresh products llc,TX,Ongoing,,,1,0,0,0,0,0,0,0
1020,Rogue River,Class I,"farming fish brand organic basil pesto with watercress was packaged in 85 oz plastic deli containers upc 7 23175 33586 8    the label is read in parts: ""***100% organic basil pesto with watercress *** 85oz***ingredients: all organic basil watercress sunflower seed oil sunflower seeds garlic lemon juice sea salt***the farming fish*** rogue river oregon****""",United States,distributed in colorado and oregon,77130,telephone,97537-9787, enjoy or freeze by dates: 4/30/2017 5/6/2017 5/13/2017 and 5/20/2017 ,Food,the organic basil pesto with watercress is recalled because it has the potential to be contaminated with listeria monocytogenes,2017-04-24,F-2206-2017,our local bounty,OR,Ongoing,,,1,0,0,0,0,0,0,0
1021,Phoenix,Class I,fresh frozen diced red pepper net wt 2 lb dist by fresh frozen foods inc jefferson ga 30549 (no upc) fresh frozen diced green pepper net wt 2 lb dist by fresh frozen foods inc jefferson ga 30549 (no upc),United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, ff item number 795 ff item number 798,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-3040-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
1022,Gardena,Class I,integrated food service  turkey sausage & cheese bagel thin sandwich  code #809013,United States,us distribution nationwide     no foreign distribution,74243,letter,90248-2423, lot #040115-050616,Food,potential listeria monocytogenes contamination,2016-05-23,F-1903-2016,let's do lunch inc,CA,Ongoing,,,1,0,0,0,0,0,0,0
1024,Gardena,Class I,integrated food service  bbq rib sandwich  bbq rib beef patty on a whole grain roll  code #460007,United States,us distribution nationwide     no foreign distribution,74243,letter,90248-2423, lot #040115-050616,Food,potential listeria monocytogenes contamination,2016-05-23,F-1897-2016,let's do lunch inc,CA,Ongoing,,,1,0,0,0,0,0,0,0
1026,Ventura,Class I,foxy's rocky road less travelled  1 pint,United States,us distribution to the following; ca ny    no foreign distribution,76035,press release,93002-7115, best by: march 17th 2017 march 18th 2017 march 19th 2017 march 20th 2017,Food,potential listeria monocytogenes contamination,2016-12-20,F-1541-2017,altijira murray products llc,CA,Ongoing,,,1,0,0,0,0,0,0,0
1030,Oak Brook,Class I,upc 7003860349  best choice trail mix fruit and nut bars best by/date code: jan 04 17,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code: jan 04 17,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2423-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1031,Brenham,Class I,blue bell southern peach cobbler one pint (473 ml),United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lot codes within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2505-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
1034,San Diego,Class I,bhufit bar vanilla almond cashew  primal grass-fed whey protein:  net wt 16 oz (45g),United States,us only - to direct accounts and online customers and sample,77705,e-mail,92110-3919,lot code: 13017 13817,Food,potential listeria monocytogenes contamination,2017-06-14,F-3381-2017,laura's boston brownies,CA,Ongoing,,,1,0,0,0,0,0,0,0
1035,Edison,Class I,woodfield farms walnuts halves & pieces net wt 25 lbs  distributed by woodstock farms mfg edison nj 08817 upc 075239001944  product of usa ,United States,nationwide,74089,telephone,08817-6016, best by 04/21/17 lot 16112,Food,walnut pieces may be contaminated with listeria monocytogenes which was determined through third party sampling,2016-05-06,F-2348-2016,united natural trading,NJ,Ongoing,,,1,0,0,0,0,0,0,0
1041,Pasco,Class I,organic multi-colored cauliflower florets brand organic by nature net wt 16 oz upc 4635800076  ,United States,us nationwide and in canada & japan,74019,press release,99301-9533, all affected products have the best by dates or sell by dates between april 26 2016 and april 26 2018  ,Food,organic multi-colored cauliflower florets are recalled because they have the potential to be contaminated with listeria monocytogenes,2016-05-02,F-1807-2016,crf frozen foods llc,WA,Ongoing,,,1,0,0,0,0,0,0,0
1042,Houston,Class I,harris teeter green bean saut¿ 10oz            ,United States,al fl ga ky la md ms nc sc tn va and wv,75061,two or more of the following: email fax letter press release telephone visit,77073-3302, best if used by dates between august 11 2016 through august 17 2016,Food,products may be contaminated with listeria monocytogenes,2016-08-25,F-0841-2017,country fresh products llc,TX,Ongoing,,,1,0,0,0,0,0,0,0
1047,Oak Brook,Class I,upc 071725713124	amport foods chocolatey nut trail mix best by/date code: 1/8/2017     upc 639277431417	naturally select chocolate & nut trail mix best by/date code: 3/23/2017         ,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code: 1/8/2017 3/23/2017,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2436-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1054,Richfield,Class I,apple tree goat dairy  cheddar; raw cultured goat milk; aged 60 days net wt 8 oz and 5 lb blocks richfield pa 17086,United States,dc md nj ny pa and va,75153,telephone,17086-8555, all lots,Food,product may be contaminated with  listeria monocytogenes,2016-09-09,F-0112-2017,apple tree goat dairy,PA,Ongoing,,,1,0,0,0,0,0,0,0
1055,Highland,Class I,pitted dates 475 cases of 24 x 1 lb bags,United States,pa nh ny tx fl ma md ca co nj ga mn mi il oh az wi tn nc  british columbia,77335,telephone,12528-2332,lot: h504817-95,Food,listeria monocytogenes found on food contact surfaces and non-food contact surfaces,2017-05-21,F-2826-2017,hvf inc dba huson valley farms,NY,Ongoing,,,1,0,0,0,0,0,0,0
1059,Pasco,Class I,iqf 1/4 x 1/4 yellow onion dice item number 102654 bulk cases net wt 40 lbs    onion 1/4 x1/4 dice item number 103205 bulk cases net wt 45 lbs  ,United States,az ca co ga in ky la ma mi nj oh or tn tx ut wa wi and in canada and ireland,73785,e-mail,99302, lot numbers:  161a075;  161a076;  161b068;  161b075;  161b076            ,Food,1/4 x 1/4 frozen yellow onion dice was voluntarily recalled because it has the potential to be contaminated with listeria monocytogenes,2016-04-06,F-1945-2016,oregon potato company,WA,Ongoing,,,1,0,0,0,0,0,0,0
1064,Phoenix,Class I,fresh frozen grade a butter peas net wt 32 oz (2 lb) 907g dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-20060-5; fresh frozen butterpeas net wt 16 oz (1 lb) 454g upc 0-86069-20063-6,United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, upc 0-86069-20060-5 ff item number 252 upc 0-86069-20063-6 ff item number 25299 ,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-2993-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
1066,Novato,Class I,navitas naturals superfood hemp bar:  creamy peanut hemp nut bar  net wt 14 oz/40 g  gluten free    ingredients: organic roasted cashews almonds honey evaporated cane sugar crisp brown rice roasted peanuts tapioca syrup roasted sunflower seeds quinoa crisp almond butter toasted hemp seed sea salt not-soy glycerin organic flavor  allergen information: contains peanuts & tress nuts (cashews and almonds)    distributed by navitas naturals novato ca,United States,ny nh ct pa ga fl in ia wi tx ca wa co or dc me md ut sc mi and one consignee in canada,74307,press release,94949-6231, lot 0466; best before mar 2017,Food,firm was notified by manufacturer that four varieties of   their superfood bars were made using sunflower seeds under recall for listeria monocytogenes,2016-06-02,F-1685-2016,navitas llc,CA,Ongoing,,,1,0,0,0,0,0,0,0
1075,Elmwood Park,Class I,aldi kale burger net 1875 lbs 30 x 10 oz (284 grams) sell by: may -17-2018,United States,us nationwide and foreign,74182,letter,07407-2615, item #50206    al-50206-r30  case code: h16ah-02a retail unit code: h16ah best by: 3/07/2018  case code: h16ah-02b retail unit code: h16ah best by: 3/07/2018  case code: h16cc-01a retail unit code: h16cc best by: 3/22/2018,Food,dr praeger's sensible food/ungar's food products is voluntarily recalling various not-ready-to eat frozen products because they may be contaminated with listeria monocytogenes ,2016-05-13,F-1634-2016,dr praeger's sensible foods,NJ,Ongoing,,,1,0,0,0,0,0,0,0
1076,Brenham,Class I,blue bell ice cream mango 3 gallon,United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lot codes within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2639-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
1081,Hayward,Class I,chuka ika sansai eco - international name and natural chuka ika sansai for us (seasoned squid salad);  net wt: 44 lbs (2 kg) for us customer:  22 lbs (1 kg) for european customer    second lot:  net wt 22 lbs (8 pkg/1 kg) for european customer  44lbs (2 kg)    shelf life is 24 months for us 18 months for eu customer per request    perishable/keep frozen until use;  thaw under refrigeration immediately before use    ingredients: squid (peru wild) yamakurage (lettuce stem) kikurage mushroom bamboo shoot seasoned ginger (ginger water cane sugar salt distilled white vinegar citric acid) sesame seed sugar natural vinegar white soy sauce (water salt soybeans wheat) sweet rice wine natural rice wine sesame oil sorbitol (2 g per 100g serving) salt kelp extract bonito extract red pepper dextrose yeast extract xanthan gum annatto sodium phosphate  allergen information: contains squid fish extract (bonito) sesame see soy wheat    manufactured by: azuma foods international inc usa  hayward ca 94545  processed in the us a,United States,three us customers and one customer in holland second lot bonded and tested in switzerland but final destination was same customer in holland additional customer in united kingdom,72827,letter,94545-1015, product number: 825353 in us and 82539ky international:  lot 25-1429 - us  lot 25-1429-1 and 25-1429-2 foreign    additional lot - first recall expansion:  26-0937-1 - international  26-0937 - us    second recall expansion:  us: 25-1424 25-1540 25-2388 25 2689 26-0065 26-0286 26-0440 26-0594 26-0661 26-0713     ,Food,firm was notified by eu of a positive sample for listeria monocytogenes in squid salad tested by their customer in the netherlands a second customer reported an additional positive finding and an additional lot of squid salad was also recalled,2015-12-04,F-1068-2016,azuma foods international inc usa,CA,Ongoing,,,1,0,0,1,0,0,0,0
1084,Pasco,Class I,"iqf 3/8"" un-blanched yellow onion dice frozen item number 103349 bulk cases net wt 45 lbs  ",United States,az ca co ga in ky la ma mi nj oh or tn tx ut wa wi and in canada and ireland,73785,e-mail,99302, lot numbers:  161a068;  161a079;  161b078  ,Food,"iqf 3/8"" un-blanched frozen yellow onion dice is voluntarily recalled because it has the potential to be contaminated with listeria monocytogenes",2016-04-06,F-1940-2016,oregon potato company,WA,Ongoing,,,1,0,0,0,0,0,0,0
1089,Crookston,Class I,expanded 5/18/2016   dakota style salted caramel sunflower kernel 2000 lbs poly lined - poly woven tote product of usa manufactured by sunopta crookston mn,United States,ar ca co il in ky mn nc nd nh oh pa sd tx wa wi  expanded 5/18/2016  additional states:  ct fl ga ia ks la ma mi nj ny or     2nd expansion 5/31/2016  additional states:  md mt ok va  ous to include:  canada guatemala  great britain and mexico,74020,two or more of the following: email fax letter press release telephone visit,56716-2480, expanded 5/18/2016     plot# / child lot# / expiration  8c6m31 / 37260915128 / 6/29/16    2nd expansion 5/31/2016  plot#:  8f5m03 8h5m12,Food,sunopta is recalling sunflower kernel products that have the potential to be contaminated with listeria monocytogenes      expanded 5/18/2016    sunopta expanded their recall of roasted sunflower kernel products to include the production dates of february 20 - april 26 2016 due to potential listeria monocytogenes contamination      2nd expansion 5/31/2016  sunopta expanded their recall to include product produced at their crookston mn facility still within expiry to include the production dates of may 31 2015 thru january 31 2016,2016-05-02,F-2261-2016,sunopta food and grain inc,MN,Ongoing,,,1,0,0,0,0,0,0,0
1097,Garner,Class I,blue sugar cookie dough 05-598 net wt 30 lbs (1361 kg) aspen hills inc garner ia 50438,United States,recalled product was distributed to the following us states: al az ca ga ia il fl ky ma mi mn mo oh ok pa tn tx ut and wi recalled product was also sent to canada,75222,telephone,50438-1057, 9226 9/3/17,Food,product potentially contaminated with listeria monocytogenes,2016-09-20,F-1325-2017,aspen hills inc,IA,Ongoing,,,1,0,0,0,0,0,0,0
1113,Brenham,Class I,blue bell(r) ice cream chocolate chip cookie dough half gallon pint and 3 gallon sizes,United States,alabama florida georgia kentucky louisiana mississippi north carolina south carolina tennessee and virginia,75254,two or more of the following: email fax letter press release telephone visit,77833-4413, all codes,Food,all ice cream products chocolate chip cookie dough cookie two step ice cream krazy kookie dough and blue monster containing cookie dough supplied by aspen hills inc due to the potential for them to contain listeria monocytogenes,2016-09-20,F-0873-2017,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,1
1114,Oak Brook,Class I,upc 639277187567	naturally select indulgent trail mix best by/date code: 3/24/2017         ,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code: 3/24/2017,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2443-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1124,Sayreville,Class I,pecorino balze volteranne dop  societa agricola fattoria  lischeto srl 15 kg/wheel,United States,nj and ny,76704,two or more of the following: email fax letter press release telephone visit,08872-1436, lot #07 december 2016lcm,Food,pecorino balze volteranne raw sheeps milk cheese tested positive for listeria monocytogenes  ,2017-03-08,F-1959-2017,pondini inc,NJ,Ongoing,,,1,0,0,0,0,0,1,0
1139,Hanover,Class I,brand name: evies cheddar potato macaroni salad   net weight: 6 oz container  units per package: 1   units per case: 6 containers per case  package type: clear plastic container  ,United States,product was distributed through amazon fresh in the bellevue washington area shelf life of the product is 7 days and the last affected lot expires on 06/20/16  there is an estimate of less than 2 edible cases of product left out in the public this is based upon the expiration date of the last lot produced the last lot produced had an expiration date of 06/20/16    product is shipped directly to the consumers home    there are no government or military accounts associated with this product    this product had one direct account by way of amazon fresh amazon fresh phone number is (866) 380-0525,74571,e-mail,21076-1322, use by dates of 04/15/16 to 06/20/16    upc # 6637511772  ,Food,gilbert foods inc t/a hearn-kirkwood  is initiating a voluntary recall of evies cheddar potato macaroni salad the co-packer of the product marys harvest fresh foods notified us that the peas that were used in evies cheddar potato macaroni salad are a part of national frozen foods corporations voluntary recall because potentially contaminated peas were used in the evies cheddar potato macaroni salad there is the risk that the entire container of evies cheddar potato macaroni salad could be contaminated with listeria monocytogenes         listeria monocytogenes is an organism which can cause serious and sometimes fatal infections in young children frail or elderly people and others with weakened immune systems although healthy individuals may suffer only short-term symptoms such as high fever severe headache stiffness nausea abdominal pain and diarrhea listeria infection can cause miscarriages and stillbirths among pregnant women  there have been no reported illnesses or complaints attributed to the recalled items to dateproduct is shipped directly to the consumer through amazon fresh  ,2016-06-22,F-2274-2016,gilbert foods inc,MD,Ongoing,,,1,0,0,1,0,0,0,0
1141,Camden,Class I,fata's best mozzarella muenster provolone feather shred shredded cheese 5 lb packages packed in plastic bags keep refrigerated,United States,domestic: michigan indiana illinois ohiopennsylvania south dakota,75426,telephone,49232-9010, lot  27916,Food,kuster's inc is voluntarily recalling its shredded sliced and cubed cheese following a supplier's recall of cheese due to the potential for the cheese to be contaminated with listeria monocytogenes or inadequately pasteurized ,2016-10-10,F-0436-2017,kuster's inc,MI,Ongoing,,,1,0,0,0,0,0,0,0
1146,Highland,Class I,apricot dice large-so2 70apric01,United States,pa nh ny tx fl ma md ca co nj ga mn mi il oh az wi tn nc  british columbia,77335,telephone,12528-2332,lot: h114629-02a,Food,listeria monocytogenes found on food contact surfaces and non-food contact surfaces,2017-05-21,F-2841-2017,hvf inc dba huson valley farms,NY,Ongoing,,,1,0,0,0,0,0,0,0
1149,Chicago,Class I,quaker quinoa granola bars yogurt fruit and nut flavor packaged in a multi colored box with brown lettering wrapper upc: 000 30000 00195 0,United States,distributed to multiple locations within the us (nationwide): no foreign consignees,74324,two or more of the following: email fax letter press release telephone visit,60661-3605, best by dates: all dats prior to november 15 2016 (nov 15 16 k),Food,sunopta expanded their recall of listeria monocytogenes in sunflower kernels these sunflower kernels were used in the manufacturing of quinoa bars at the quaker oats company ,2016-06-02,F-0048-2017,the quaker oats company,IL,Ongoing,,,1,0,0,0,0,0,0,0
1150,Brenham,Class I,blue bell ice cream homemade in the shade still a 1/2 gal (2 qts),United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lot codes within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2559-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
1152,Houston,Class I,wal-mart portabella griller 125oz,United States,al fl ga ky la md ms nc sc tn va and wv,75061,two or more of the following: email fax letter press release telephone visit,77073-3302, best if used by dates between august 7 2016 through august 19 2016,Food,products may be contaminated with listeria monocytogenes,2016-08-25,F-0851-2017,country fresh products llc,TX,Ongoing,,,1,0,0,0,0,0,0,0
1154,Brenham,Class I,blue bell ice cream butter crunch one pint (473 ml) and half pint size,United States,fl ga sc nc va oh ky tn al ms in il mt ar la tx ok ks nm co wy az nv and bermuda belize saudia arabia yemen oman uae qatar egypt jordan kuwait dominican republic panama turks and caicos haiti trinadad and tobago puerto rico chile peru china mexico philippines tortola st thomas and st croix anguilla st kitts and nevis montserrat and dominica,70738,two or more of the following: email fax letter press release telephone visit,77833-4413, all lots within expiry,Food,five patients who were treated in a single hospital in kansas were infected with one of four rare strains of listeria monocytogenes,2015-03-13,F-2459-2015,blue bell creameries lp,TX,Ongoing,,,1,0,0,0,0,0,0,0
1155,Austin,Class I,pecorino aged in walnut leaves mitica plu 0294239 whole foods 95 houston st new york ny 10002 wrapped in plastic wrap; pecorino aged in walnut leaves product of italy plu 290107 dist by whole foods market 50 bowie street austin tx 78703 wrapped in plastic wrap,United States,ny fl,73309,press release,78703-4648, sell by dates: 03/03/16 through 03/08/16 and 02/29/16 through 03/08/16,Food,product has the potential to be contaminated with listeria monocytogenes,2016-02-16,F-1709-2016,whole foods market,TX,Ongoing,,,1,0,0,0,0,0,0,0
1160,Highland,Class I,cashew 320-whole roasted-org 70cash14    ,United States,pa nh ny tx fl ma md ca co nj ga mn mi il oh az wi tn nc  british columbia,77335,telephone,12528-2332,lot: hg504814-09 hg504814-10 hg504742-09,Food,listeria monocytogenes found on food contact surfaces and non-food contact surfaces,2017-05-21,F-2871-2017,hvf inc dba huson valley farms,NY,Ongoing,,,1,0,0,0,0,0,0,0
1173,Youngstown,Class I,health warrior chia bar vanilla almond nt wt 25 g (88 g) allergens: contains,United States,product was shipped to nc & pa,77625,letter,44505-1014,lot # 17114a exp date 04/24/2018; lot 17130a exp date 05/10/2018,Food,ingredient used in the manufacture of these products was recalled due to a potential for listeria monocytogenes contamination,2017-06-13,F-3462-2017,belmont confections inc,OH,Ongoing,,,1,0,0,0,0,0,0,0
1186,Staten Island,Class I,"refrigerated ready to eat herring in oil ""forelka style"" sold under the firm's fresh seafood label packaged in plastic retail containers (tub) net wt 109 oz (310g) - upc 825512 004915 and net wt 162 oz (460g) -  upc 825512 004922 --- manufactured by r s b new york ny 10303    ",United States,new york new jersey pennsylvania ohio oregon texas and north carolina,75852,press release,10303-2727, herring product packaged with best before dates: 11302016 through 02282017 ,Food,the product has the potential to be contaminated with listeria monocytogenes ,2016-12-02,F-1151-2017,royal seafood baza inc,NY,Ongoing,,,1,0,0,0,0,0,0,0
1188,Millersburg,Class I,backroad country roasted and salted sunflower seeds net wt 30 lb bag upc 1 13671 02091 5   product code 15318 best if used by 05/2017,United States,prodeuct was shipped to the following states: al ar fl ga il in ks la md mi mn mo ms mt nc nj oh ok pa sc tn tx ut va wi & wv,74244,telephone,44654-9274, product code 15318 best if used by 05/2017,Food,the product has been recalled because it has the potential to be contaminated with listeria monocytogenes,2016-05-23,F-0709-2017,troyer cheese inc,OH,Ongoing,,,1,0,0,0,0,0,0,0
1190,Oak Brook,Class I,upc 071725741042	amport foods trail mix raisin & nut best by/date code: 4/4/2017     upc 071725714688	amport foods trail mix raisin & nut best by/date code: 1/14/2017         ,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code: 4/4/2017 1/14/2017,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2435-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1195,Oak Brook,Class I,upc 041498206765	southern grove roasted & unsalted sunflower kernels best by/date code: 4/28/2016 3/1/2017 3/14/20173/28/2017       upc 071725727503	nature's harvest sunflower kernels roasted & unsalted best by/date code: 11/25/2016 11/26/2016 12/4/2016 12/18/2016 12/23/2016 1/2/2017 1/14/2017 1/15/2017,United States,us: al az ar ca co ct fl il in ia ksky la me md ma mi mn  ms  mo ne nv nm ny ncnd oh ok or pasc tn tx ut va wa wi wy    ous: honduras nicaragua chile,74041,telephone,60523-1860, best by/date code:   4/28/2016 3/1/2017 3/14/20173/28/2017   11/25/2016 11/26/2016 12/4/2016 12/18/2016 12/23/2016 1/2/2017 1/14/2017 1/15/2017 ,Food,treehouse foods is recalling products that may be impacted by sunflower seeds  contaminated with listeria monocytogenes,2016-05-03,F-2432-2016,treehouse foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1199,Highland,Class I,almond dice large roasted natural,United States,pa nh ny tx fl ma md ca co nj ga mn mi il oh az wi tn nc  british columbia,77335,telephone,12528-2332,lot: h114964-18b,Food,listeria monocytogenes found on food contact surfaces and non-food contact surfaces,2017-05-21,F-2837-2017,hvf inc dba huson valley farms,NY,Ongoing,,,1,0,0,0,0,0,0,0
1201,Staten Island,Class I,refrigerated ready to eat herring fillets in oil lightly salted under firms brand name fresh seafood packaged in a 16 oz (454g) plastic retail container labeled in part ***fresh**seafood**herring fillets in oil lightly salted**net wt 16 oz (454g)***upc # 825512014044 ,United States,ny & pa via retail stores,73580,e-mail,10303-2727, lot code best by 060416,Food,royal seafood baza inc has recalled all pickled products produced on 3/1/2016 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with listeria monocytogenes ,2016-03-18,F-0412-2017,royal seafood baza,NY,Ongoing,,,1,0,0,0,0,0,0,0
1203,Miami,Class I,queso fresco (fresh cheese) in individually soft poly/plastic bags labeled in part: lacteos santa martha queso fresco fresh cheese net wt 12oz (340g) ,United States,fl ga nc and tn,69516,two or more of the following: email fax letter press release telephone visit,33182, upc 635349 000703  best by dates: 07/01/14 thru 12/31/14  ,Food,virginia state (vdacs) found listeria monocytogenes in lacteos santa martha quesito casero fresh curd (best by 9/27/14) fda made an inspection were the environmental samples collected came up positive also for listeria monocytogenes also the oasis brands inc sent finish products samples to a private lab the lacteos santa martha cuajada en hoja queso casero hecho a mano fresh curd (best by dat,2014-10-10,F-0602-2015,oasis brands inc,FL,Ongoing,,,1,0,0,0,0,0,0,0
1214,Wheeling,Class I,roasted garlic hummus sold under the archer farms brand and packaged in a transparent plastic tub  with a net weight of 17 oz (1 lb 1 oz),United States,us: nationwide,68614,telephone,60090-5823," all products with the ""use by"" dates of jun/9/2014 and jun/12/14",Food,lansal inc (dba hot mama's foods) is recalling approximately 14860 pounds of hummus and dip products due to concerns about possible listeria monocytogenes,2014-05-15,F-2296-2014,hot mama's foods,IL,Ongoing,,,1,0,0,0,0,0,0,0
1233,Bells,Class I,pictsweet(r) seasoned summer vegetables net wt 12 oz (340g) distributed by the pictsweet company bells tn 38305 upc 7056097622,United States,nationwide,74123,two or more of the following: email fax letter press release telephone visit,38006, best if used by: aug 3 2016 aug 5 2016 nov 9 2016 nov 10 2016; with mfg code ### # k # #,Food,possible listeria monocytogenes contamination in bulk vegetables supplied by crf frozen foods llc used in manufacturing several pictsweet products,2016-05-06,F-2232-2016,the pictsweet company,TN,Ongoing,,,1,0,0,0,0,0,0,0
1248,Phoenix,Class I,fresh frozen grade a boil blend net wt 80 oz (5 lb) dist by fresh frozen foods inc jefferson ga 30549 upc 0-86069-50265-5,United States,al ar az ca fl ga il in ks ky la md ma mi mn ms mo mt ne nj ny nc oh ok pa sc tn tx vt va wi and wv,71070,two or more of the following: email fax letter press release telephone visit,85054-5484, upc 0-86069-50265-5 ff item number 1582,Food,listeria contamination due to various gmp violations possible,2015-04-23,F-3033-2015,inventure foods,AZ,Ongoing,,,1,0,0,0,0,0,0,0
1253,Youngstown,Class I,iss one salted caramel flavored protein bar  net wt 2012 oz (60 g) allergy alert: this contains milk almonds and soy (lecithin) this product is manufactured in a facility that processes peanut tree nut and wheat ingredients,United States,product was shipped to nc & pa,77625,letter,44505-1014,lot #,Food,ingredient used in the manufacture of these products was recalled due to a potential for listeria monocytogenes contamination,2017-06-13,F-3464-2017,belmont confections inc,OH,Ongoing,,,1,0,0,0,0,0,0,0
