course_name|professor|url|description|term|online|course_num
ENGL E-182M Poetry in America: From the Civil War through Modernism|Elisa New|http://extension.harvard.edu/academics/courses/poetry-america-civil-war-through-modernism/15090|This course spans a critical era in American literature, beginning with antebellum and Civil War poetry, entering the twentieth century, and traversing the transformative modernist era. This course begins with the poetry of the American Civil War and the series of major events and social movements that followed it—including Reconstruction, the Jim Crow Era, and Manifest Destiny, to name just a few. Encountering such poets as Herman Melville, Julia Ward Howe, Walt Whitman, Edward Arlington Robinson, Paul Laurence Dunbar, James Weldon Johnson, Francis Ellen Watkins Harper, Emma Lazarus and W.E.B. DuBois, we examine the language of patriotism, pride, violence, loss, and memory inspired by the nation's greatest conflict. As we enter the twentieth century, we encounter modernism, a movement that spanned the decades from the 1910s to the mid-1940s, and whose poetry marked a clear break from past traditions and past forms. We read such poets as Robert Frost, T.S. Eliot, Marianne Moore, Langston Hughes, William Carlos Williams, Edna St. Vincent Millay, Claude McKay, Dorothy Parker, and Wallace Stevens. We study how these poets employed the language of rejection and revolution, of making and remaking, of artistic appropriation and cultural emancipation. Traveling to the homes and workplaces of Robert Frost and Wallace Stevens; to the Poetry Foundation in Chicago, where the institution of American modernism was born; and even exploring the River Thames in the London of Eliot's The Waste Land, we see the sites that witnessed—and cultivated—the rise of American modernism. The recorded lectures are from the HarvardX Poetry in America Series. Students may count ENGL E-182g (offered previously) or ENGL E-182m toward a degree, but not both.|Fall Term 2016|Online only|15090
ENGL E-182A Poetry in America: From the Mayflower through Emerson|Elisa New|http://extension.harvard.edu/academics/courses/poetry-america-mayflower-through-emerson/24717|This course covers American poetry in cultural context through the year 1850. The course begins with Puritan poets, some orthodox, some rebel spirits, who wrote and lived in early New England. Focusing on Anne Bradstreet, Edward Taylor, and Michael Wigglesworth, among others, we explore the interplay between mortal and immortal, Europe and wilderness, solitude and sociality in English North America. The second part of the course spans the poetry of America's early years, directly before and after the creation of the Republic. We examine the creation of a national identity through the lens of an emerging national literature, focusing on such poets as Phillis Wheatley, Henry Wadsworth Longfellow, Edgar Allen Poe, and Ralph Waldo Emerson, among others. Distinguished guest discussants include writer Michael Pollan, economist Larry Summers, Vice President Al Gore, Mayor Tom Menino, and others. The recorded lectures are from the HarvardX Poetry in America Series.|Spring Term 2017|Online only|24717
ENGL E-189 The Civil War from Nat Turner to Birth of a Nation|John Stauffer|http://extension.harvard.edu/academics/courses/civil-war-nat-turner-birth-nation/24546|This interdisciplinary course examines the American Civil War from Nat Turner's slave rebellion in 1831 to the legendary history film, Birth of a Nation (1915), which coincided with the Jubilee of Appomattox. It changes our understanding of the conflict in three ways. First, by showing that civil war lasted much longer than the four years from 1861-65: it began with guerrilla war between masters and slaves, and between Northerners and Southerners in various states and the US Congress; it evolved into a military war after Fort Sumter; and it became a terrorist war during and after Reconstruction. Second, by arguing that the Confederacy, in some sense, won the war: although the Confederacy was destroyed and the Constitution amended, the former slave owners nonetheless succeeded in creating a new order of black unfreedom. And third, by putting the war in international context: the United States was far from the only nation in the western hemisphere to grapple with slavery and abolition, although it was one of the very few to do so through war. Throughout the course we explore how the war transformed literature, art, politics, history, and memory, while also revealing how these cultural forms shaped society and the war itself. Readings range from fiction, film, letters, and speeches to poetry, pamphlets, prints and photographs, songs, and history. The recorded lectures are from the Harvard Faculty of Arts and Sciences course United States and the World 34.|Spring Term 2017|Online only|24546
ENGL E-199D Forms of Satire|Michael Shinagel|http://extension.harvard.edu/academics/courses/forms-satire/15070|This seminar is a critical study of classic works of satire in poetry, prose fiction, and drama, with an emphasis on comparing texts from the eighteenth century by such major satirists as Swift, Pope, Gay, Johnson, and Voltaire with such modern authors as Orwell, Brecht, Vonnegut, Auden, and West.|Fall Term 2016|On campus only|15070
ENGL E-207 The Culture of Capitalism|Martin Puchner|http://extension.harvard.edu/academics/courses/culture-capitalism/23886|The course asks how cultural products, including literature, theater, and film have captured the spirit of capitalism—fueling its fantasies, contemplating its effects, and chronicling its crises. More than just an economic system, capitalism created new habits of life and mind as well as new values, forged and distilled by new forms of art. Core readings by Franklin, O'Neill, Rand, Miller, and Mamet and background readings by Smith, Marx, Taylor, Weber, Keynes, and Schumpeter. The recorded lectures are from the 2013 Harvard Faculty of Arts and Sciences course Culture and Belief 56.|Spring Term 2017|Online only|23886
ENGL E-213 The Scientist and the Monster: From Frankenstein to Einstein|Sue Weaver Schopf|http://extension.harvard.edu/academics/courses/scientist-monster-frankenstein-einstein/24684|When does science go too far? What are (or should be) its limitations? The scientist in literature is often represented as mad because of his willingness to go to any length to advance the cause of science—and never more so than when experiments have unintended consequences or escape the scientist's control. This fear of science and the scientist becomes a serious literary preoccupation during the nineteenth century, when experiments in electricity, reanimation, chemistry, surgery, vivisection, the use of new technologies, and the implications of Darwinism were being widely discussed and their morality questioned. With the birth of the nuclear age in the twentieth century, public anxiety about science and its uses only intensified. This course examines five works that dramatize the dilemma of the scientist when confronting the monstrosities he creates or those over which science appears to be powerless: Mary Shelley's Frankenstein (1818), Robert Louis Stevenson's The Strange Case of Dr. Jekyll and Mr. Hyde (1886), H. G. Wells' The Island of Dr. Moreau (1896), Bram Stoker's Dracula (1897), and C. P. Snow's The New Men (1954). We investigate the medical and scientific backgrounds of these works, as well as the authors' unusual storytelling devices. Filmed versions of these works are also viewed and critiqued.|January session|On campus only|24684
ENGL E-219 The War Memoir|Chris Walsh|http://extension.harvard.edu/academics/courses/war-memoir/24527|"War is hell," the Vietnam War veteran Tim O'Brien wrote, "but that's not the half of it, because war is mystery and terror and adventure and courage and discovery and holiness and pity and despair and longing and love. War is nasty; war is fun. War is thrilling; war is drudgery. War makes you a man; war makes you dead." This course explores this powerful and contradictory phenomenon through the intimate accounts of those who, like O'Brien, experienced it first hand, from the Civil War through twenty-first century conflicts in Iraq and Afghanistan. We find common threads through these accounts—compelling tales of fear and camaraderie, horror and honor delivered even as their authors worry that, as Walt Whitman put it, "the real war will never get in the books." We explore how war memoirs have changed, too, both as the nature of war has changed and as the nature of those who fight has changed. In addition to reading texts by men and women, volunteers and conscripts, generals and privates, we also meet war memoirists in person.|January session|On campus only|24527
ENGL E-222 Made for Each Other: Romance, Marriage, and the Novel|Theoharis C. Theoharis|http://extension.harvard.edu/academics/courses/made-each-other-romance-marriage-novel/15047|For romance to end in marriage, lovers must adjust themselves, must absorb the disruptions love brings in order to achieve the social prerogatives legitimacy brings. We read two English novels, Pride and Prejudice by Jane Austen and Jane Eyre by Charlotte Bronte, and two American novels, Washington Square by Henry James and Light in August by William Faulkner, to see how light or heavy the cost of married union may be for lovers, how much cruelty mingles with mercy, and creativity with havoc in the lives of people made for each other.|Fall Term 2016|On campus only|15047
ENGL E-223 Love, Death, and other Confusions: The Modern Novella|Theoharis C. Theoharis|http://extension.harvard.edu/academics/courses/love-death-other-confusions-modern-novella/24685|It may seem counter-intuitive that short literary works could properly handle life's big issues—love, identity, mortality, ethics, pleasure. But the novellas in this class—comic, somber, absurdist and classical—all prove that, in the hands of great writers, less may be more. The texts are Leo Tolstoy's The Death of Ivan Ilyich, Joseph Conrad's The Secret Sharer, Nathaniel West's Miss Lonelyhearts, Gabriel Garcia-Marquez's No One Writes to the Colonel, Marguerite Duras' The Lover, and Eudora Welty's The Ponder Heart.|Spring Term 2017|On campus only|24685
ENGL E-250 The Unreliable Narrator: Hero, Lunatic, Scoundrel|Lewis H. Miller, Jr.|http://extension.harvard.edu/academics/courses/unreliable-narrator-hero-lunatic-scoundrel/24810|One might reasonably conclude that all narrators in fiction or in life are to some extent fallible or unreliable. Our focus specifically engages the question of how selected authors further their artistic purposes by creating narrators who subtly or blatantly confuse appearance and reality, fancy and fact, opportunism and beneficence, opacity and insight. In the process, we address the implications and relevance of such labels as hero, lunatic, scoundrel. Our consideration of narrative strategies leads to an exploration of the manner in which these fictions can illuminate one another and, in the process, deepen our understanding of literature, our own lives, and the lives of others. We read and discuss the following literary works (not necessarily in strict chronological order) with a close eye on the narrators who tell us their stories: Herman Melville's short story, "Bartleby the Scrivener," (1853); Henry James' novella, The Aspern Papers (1888, rev. 1908); Charlotte Perkins Gilman's short story, "The Yellow Wallpaper" (1893); Joseph Conrad's novella, The Heart of Darkness (1899); Vladimir Nabokov's novel, Pale Fire (1962); Kazuo Ishiguro's novel, The Remains of the Day (1989); and other short stories by Eudora Welty, "Petrified Man" (1941); William Trevor, "Beyond the Pale" (1981); Russell Banks, "Sarah Cole: A Type of Love Story" (1986); Alice Munro, "Meneseteung," (1988).|Spring Term 2017|On campus only|24810
ENGL E-300 Poetry in America for Teachers: The City from Whitman to Hip Hop|Elisa New|http://extension.harvard.edu/academics/courses/poetry-america-teachers-city-whitman-hip-hop/24718|This course is designed specifically for secondary school educators interested in developing their expertise as readers and teachers of literature. In this course, we consider those American poets whose themes, forms, and voices have given expression to visions of the city since 1850.  Beginning with Walt Whitman, the great poet of nineteenth-century New York, we explore the diverse and ever-changing environment of the modern city—from Chicago to London, from San Francisco to Detroit—through the eyes of such poets as Carl Sandburg, Emma Lazarus, Edna St. Vincent Millay, Langston Hughes, Marianne Moore, Frank O'Hara, Gwendolyn Brooks, Allen Ginsberg, Robert Hayden, and Robert Pinsky, as well as contemporary hip hop and spoken word artists. Deep study of the poems and poets on our syllabus provides an opportunity to develop expertise as classroom educators. As we master advanced strategies for studying American poetry ourselves, we also gain rich new resources for the classroom. This course introduces content and techniques intended to help educators teach their students how to read texts of increasing complexity. Students gain teaching expertise relevant to the Common Core English Language Arts (ELA) standards in grades six through 12. A limited number of scholarships are available to those registering for noncredit. For more information, send an e-mail to info@poetryinamerica.org with [Insert Your Name Here], Teacher Course Scholarship Inquiry in the subject line.|Spring Term 2017|Online only|24718
ENSC E-123 Laboratory Electronics: Digital Circuit Design|Thomas C. Hayes|http://extension.harvard.edu/academics/courses/laboratory-electronics-digital-circuit-design/22098|This course forms the digital half of a two-semester sequence that provides a lab-intensive survey of electronics (the analog half of the sequence is PHYS E-123a). It covers digital design, emphasizing microprocessors and microcontrollers as well as programmable logic devices, and provides an understanding of the fundamentals of computer circuitry. After examining analog-digital interfacing issues, students program and attach peripherals to a microcontroller. We offer the design in either of two forms: a single-chip standalone controller, programmed using a laptop PC; or a microcomputer built up from a collection of a half dozen ICs. They apply either computer/controller first to assigned tasks, later to individual projects. The student's microcomputer is based on an 8051-derivative microcontroller, chosen because it is the most widely-sourced of controllers. Each meeting includes a laboratory session.|Spring Term 2017|On campus only|22098
ENSC E-130 Introduction to MEMS with BioMEMS|Fawwaz Habbal|http://extension.harvard.edu/academics/courses/introduction-mems-biomems/14876|This course introduces students to the multidisciplinary and exciting field of MicroElectroMechanical Systems (MEMS). It teaches the underlying physical principles, methods of fabrication (hard and soft lithography techniques, 3D printing, thin-film deposition, and materials printing) and applications of a broad range of mechanical and optical devices and systems as well as biomedical systems (BioMEMS). The course emphasizes teamwork and active learning. Students work together on creating innovative devices and also use fabrication facilities to build simple MEMS structures and image them.|Fall Term 2016|On campus with online option|14876
ENSC E-132 Tissue Engineering for Clinical Applications|Sujata K. Bhatia|http://extension.harvard.edu/academics/courses/tissue-engineering-clinical-applications/14028|Tissue engineering is now recognized as a way to lessen the global disease burden: novel methods for pancreatic islet regeneration can address diabetes; autologous cells for heart muscle regeneration can address coronary artery disease; and nerve regeneration technologies can be used to treat stroke. This course describes strategies of tissue engineering, and focuses on the diseases tissue engineering can address. Each lecture identifies a specific disease (coronary artery disease, stroke, diabetes) and describes tissue-engineered scaffolds that can alleviate the disease. Students learn the underlying pathology of the disease, understand the latest advances in tissue engineering for treating the disease, and discuss prospective research areas for novel biomaterials to modify the disease process. In addition, students gain an appreciation of clinical trials of tissue-engineered scaffolds, as well as commercialization of tissue engineering.|Fall Term 2016|Online (live) web conference|14028
ENSC E-150 Introduction to Nanobiotechnology: Concepts and Applications|Anas Chalah|http://extension.harvard.edu/academics/courses/introduction-nanobiotechnology-concepts-applications/12806|Nanobiotechnology is a new frontier for biology with important applications in medicine. It bridges areas in physics, chemistry, and biology and is a testament to the new areas of interdisciplinary science that are becoming dominant in the twenty-first century. This course provides perspective for students and researchers who are interested in nanoscale physical and biological systems and their applications in medicine. It introduces concepts in nanomaterials and their use with biocomponents to synthesize and address larger systems. Applications include systems for visualization, labeling, drug delivery, and cancer research. Technological impact of nanoscale systems, synthesis, and characterizations of nanoscale materials are discussed.|Fall Term 2016|On campus with online option|12806
ENSC E-155 Fundamentals and Applications of Microfluidics|Anas Chalah|http://extension.harvard.edu/academics/courses/fundamentals-applications-microfluidics/22768|Advancements in the study of microfluidic components and systems have created a new class of tools and devices. These devices are convenient platforms to study chemical and biochemical analysis and, as a consequence, applications in biology have been on the rise. In this course we introduce the science and technology of miniaturization and its applications in creating microfluidic devices. We discuss methods, tools, and measuring devices to create microfluidic systems. Different types of lithography methods are presented with hands-on experiences for creating simple devices. We discuss fluid flow and fluid characteristics in microchannels as well as the components for controlling fluid flow. We also discuss applications to cellular analysis including nucleic acids analysis, DNA hybridization and sequencing, and protein analysis. Local students have the opportunity to fabricate several simple devices.|Spring Term 2017|On campus with online option|22768
ENSC E-165 Engineering of Nanostructures for Targeted Drug Delivery|Anas Chalah|http://extension.harvard.edu/academics/courses/engineering-nanostructures-targeted-drug-delivery/23245|This course describes the emerging role of nanostructures in drug development activities. It covers the most current nanotechniques applied by the pharmaceutical industry to engineer shuttling mechanisms for delivering previously failed drug molecules. Throughout the course, students  learn the basic principles of drug likeness, the rule of five for drug design, and the effect of these principles on excluding a wide range of chemical structures. The course focuses on methods of nanostructures' surface functionalization, immobilization, engineering of stealth nanovehicles for cellular delivery, as well as the use of quantum dots for nuclear and cytoplasmic visualization. Examples of FDA approved nanodrugs in addition to nanoformulations at the pre-clinical and clinical stages are discussed.|Spring Term 2017|On campus only|23245
ENSC E-180 Safety and Ethics of Nanotechnology Development|Anas Chalah|http://extension.harvard.edu/academics/courses/safety-ethics-nanotechnology-development/15091|As nanotechnology advances and nanomaterials become more widely used in research as well as appearing in consumer goods, there is significant interest in understanding their safety. Topics in the course include the toxicity of specific nanomaterials, experiments using nanomaterials, risk assessment of use, and additional factors regarding control of materials. The ethical as well as legal considerations of this emerging technology are covered. We study the decisions surrounding researching and introducing materials that have not been completely characterized from a safety standpoint, and examine what goes into an evaluation of nanomaterials use and the steps needed to provide appropriate controls for experiments and use.|Fall Term 2016|Online (live) web conference|15091
ENVR E-101 Environmental Management I|John D. Spengler|http://extension.harvard.edu/academics/courses/environmental-management-i/11925|This course surveys the scientific principles of environmental issues and environmental management practices, with attention to the health of both humans and the ecosystem. Fundamental and emerging topics related to air and water pollution, water use and management, aquatic ecosystems, energy and climate change, biodiversity, toxic substances in the environment, solid waste management, and regulatory strategies for risk assessment and environmental management are examined. A local aquatic field trip is planned on a weekend in the fall with alternatives provided for online students. Other optional site visits are scheduled throughout the semester.|Fall Term 2016|On campus with online option|11925
ENVR E-102 Energy and the Environment|Petros Koutrakis|http://extension.harvard.edu/academics/courses/energy-environment/21783|This course examines the relationship between energy and the environment in our global society. It analyzes the driving forces that influence the production and consumption of energy to evaluate their impacts on environmental quality, human health, and social equity. At the end of this course students are able to understand and assess the pros and cons of conventional and renewable energy systems, issues surrounding new transportation technologies, energy intensity of food production, effects of supply chain management and international commerce in energy security, energy management in buildings, and the mechanisms needed to evolve into sustainable energy operations in the green economy for the twenty-first century. Topics include natural gas, fracking, the concept of clean coal, carbon sequestration and storage projects, the rise of solar and wind power, biofuels production, hybrid and electric vehicles, sustainable transportation technologies, green buildings, and energy used in organic farming.|Spring Term 2017|On campus with online option|21783
ENVR E-103 Energy and Climate: Vision for the Future|Michael B. McElroy|http://extension.harvard.edu/academics/courses/energy-climate-vision-future/24429|The climate of our planet is changing at a rate unprecedented in human history. Primarily responsible is the build-up of heat-trapping gases in the atmosphere, most notably carbon dioxide emitted in conjunction with the combustion of coal, oil and natural gas.  Concentrations in the atmosphere of CO2 are higher now than at any time over at least the past 850,000 years, higher arguably than at any time since dinosaurs roamed the planet 50 million years ago. The course provides a perspective on what we may expect in the way of future climate change if we fail to take action—more violent storms, extremes of precipitation, heat waves, pressures on food production, and an inexorable rise in sea level. It surveys the energy choices available should we elect to take action to minimize future damage to the climate system. Special attention is directed to the challenges and opportunities confronting China and the US, the world's two largest current emitters. The overall goal is to develop a vision for a more sustainable environmental future, one in which energy is supplied not by climate-altering fossils fuels but rather by zero carbon alternatives such as wind, solar, hydro, geothermal, tidal, and nuclear. The recorded lectures are from the Harvard  Faculty of Arts and Sciences course Science of the Physical Universe 25.|Spring Term 2017|Online only|24429
ENVR E-104 The Climate-Energy Challenge|Daniel Schrag|http://extension.harvard.edu/academics/courses/climate-energy-challenge/24559|This course examines future climate change in the context of earth history, and then considers various strategies for what might be done to deal with it. We discuss measuring ancient temperature and carbon dioxide levels and investigate the basic physics and chemistry that control climate through the lens of climate variations in the geologic past. The likely impacts of continued greenhouse gas emissions are explored, emphasizing the scientific basis for climate change predictions. We explore impacts of climate change on human societies and on natural ecosystems. A major focus of the course addresses the question of how to mitigate climate change, including an examination of various options for advanced energy systems. Each student designs a low-carbon energy system for the US, considering the four basic energy sectors (transportation, industry, residential and commercial, and electricity). During the second half of the course, a large portion of class time focuses on the low-carbon energy system exercise.|Spring Term 2017|On campus with online option|24559
ENVR E-105 Fundamentals of Organizational Sustainability|Robert B. Pojasek|http://extension.harvard.edu/academics/courses/fundamentals-organizational-sustainability/21808|Sustainability is presented from the perspective of any organization operating in a community setting. Sustainability includes a concurrent focus on environmental stewardship, social wellbeing, and shared value with external stakeholders. The structure of organizational sustainability is derived from a widely used international risk management framework. Monitoring, measurement, and program maturity topics are used to link the theoretical and practical aspects of sustainability to an organization's actual level of continuous improvement and innovation. Action learning enables students to work with a variety of local organizational cases to develop new skills.|Spring Term 2017|Online (live) web conference|21808
ENVR E-106 Envisioning a Sustainable Future: Managing and Protecting the Environment|Timothy C. Weiskel|http://extension.harvard.edu/academics/courses/envisioning-sustainable-future-managing-protecting-environment/24808|It is widely recognized by the scientific community that current trends in our collective human behavior are not sustainable. Populations are growing at rates that cannot be maintained as food supplies per capita decline and the ecological costs of providing energy and materials for many people exceed the regenerative capacities the ecosystems upon which they depend. In addition, the waste products of our increasingly urbanized and consumer-oriented civilization have now reached the point of compromising the restorative functions of the biogeochemical cycling systems required for human survival. In response to these demonstrable trends numerous outstanding thinkers and environmental leaders have begun to envisage and implement strategies for a sustainable future. This course exposes students to innovative thinkers and inspired activists over a wide range of fields engaged in the transition to sustainability.|Spring Term 2017|On campus with online option|24808
ENVR E-110 Sustainable Ocean Environments|George D. Buckley|http://extension.harvard.edu/academics/courses/sustainable-ocean-environments/21784|This course provides students with a window to the underwater world while we investigate the world's oceans, their habitats, and the diversity of marine life found therein. Topics include the ecology of bays and salt marshes, coral reefs, coastal seas, and the deep sea. Additional presentations include marine fisheries, mollusks, aquaculture, oceanographic research at sea, marine biofouling, marine pollution, and management of ocean resources. Students have the opportunity to participate in local and regional conferences and meetings about the oceans and investigate marine habitats and aquaria.|Spring Term 2017|On campus with online option|21784
ENVR E-116 Energy and Carbon in the New Economy|Richard Goode|http://extension.harvard.edu/academics/courses/energy-carbon-new-economy/23508|On December 12, 2015, the United Nations climate talks in Paris reached an historic milestone when more than 190 countries adopted the first accord that calls on all countries to join the fight against global warming. Achieving these aspirational targets will require countries to establish policy and investment that decarbonizes the economy. Organizations should start to develop and implement a 2 degrees Celsius strategy by clearly understanding their exposure to climate-related risks and identifying best practices for adapting to new carbon regulation, along with transforming their businesses by deploying sustainable energy practices. Understanding greenhouse gas (GHG) emissions, including how to calculate them and the importance of reporting them publicly, is vital to understanding how to identify sources of emission and how to reduce them. This course teaches students how to measure, report, and reduce GHG emissions with an eye toward understanding the roles that energy choices and usage play in reducing emissions.|Spring Term 2017|On campus with online option|23508
ENVR E-117 Sustainability Leadership for the Twenty-First Century|Leith Sharp|http://extension.harvard.edu/academics/courses/sustainability-leadership-twenty-first-century/13543|This course aims to inspire and enable students to lead effective change toward environmental sustainability in a variety of organizational contexts (education, business, government, nonprofit, church, community). The course explores what change leadership for sustainability is and guides students to advance their related capabilities, competencies, and strategies. The personal, interpersonal, organizational, and infrastructural dimensions of change leadership for sustainability are each addressed. A variety of specific case studies and examples of sustainability in practice, including everything from green building design and renewable energy to environmental purchasing, are explored. Interdependencies between finance, politics, relationships, cognitive processes, capacity building, technology, and more are discussed. Students leave the course with a deeper experiential knowledge of change management because they are required to complete a project involving a real life actual change leadership project of their choice. In a world lacking adequate political, judicial, and media leadership we can and must take leadership where we work and live, transforming our organizations en masse, fueling change at all levels of society. This course is designed to empower and prepare anyone who is willing to join in the collective effort to steer our society back on course towards a just and sustainabile future.|Fall Term 2016|Live web conference w/ required on-campus weekend|13543
ENVR E-118 Environmental Management of International Tourism Development|Megan Epler Wood|http://extension.harvard.edu/academics/courses/environmental-management-international-tourism-development/13556|This course lays out the significance of the international tourism industry, which represents approximately nine percent of the global economy, from economic and environmental management viewpoints. It provides students with an understanding of how the tourism business operates, primarily focusing on mainstream tourism, its supply chains, and how each sector of the business approaches environmental management. The course looks at the growth of tourism as an industry, how digital sales and marketing are transforming the sector, and its part in the rapid globalization of world economies. It discusses the industry's particular impacts on emerging economies, its role in employment generation and economic development, and the current status of global dialog on green tourism growth. Speakers from business and government reflect on the management of both public health and sustainability for tourism. Ecotourism and its role in the development of sustainable tourism is reviewed and discussed. Students learn how the industry is presently managing air, water, waste water, solid waste, sprawl, and ecosystem impacts, and how new systems for environmental management can be deployed. Each week a different sector of the industry is covered, including hotels, tour operations, airlines, airports, and cruise lines. Several sessions are offered on how governments manage the environmental impacts of tourism in locales such as the Caribbean, Asia, Latin America, and Africa. Students learn how governments presently manage tourism, discuss how governance is changing, and review prospects for further reform and consider innovative new systems for management of growth.|Fall Term 2016|On campus with online option|13556
ENVR E-118A Ecotourism and Sustainable Development|Megan Epler Wood|http://extension.harvard.edu/academics/courses/ecotourism-sustainable-development/15151|This course offers case studies on achieving higher sustainability performance from ecotourism businesses and policy leaders in Asia, Africa, and Latin America. Students learn about conservation and social and policy implications of ecotourism development in locales such as Peru, Costa Rica, Southern Africa, and India regions. They develop an ecotourism business plan with sustainability goals built into the cost and management structure. They learn how ecotourism practices fit into the larger tourism industry, and what role ecotourism plays in tourism sustainability. They review case studies of poor practices and failed investments and their effects on local people. Students develop realistic business approaches including business projections based on local costs and scenarios. They take part in business case discussions and learn triple bottom line accounting and reporting for small business. They also have the opportunity to talk with globally recognized ecotourism business owners.|Fall Term 2016|Online (live) web conference|15151
ENVR E-119 Integrated Sustainable Design and Planning: From Building to Community|Linda Powers Tomasso|http://extension.harvard.edu/academics/courses/integrated-sustainable-design-planning-building-community/14866|Changing the paradigm of urban development to become more sustainable requires a common baseline understanding of sustainability principles, metrics, and decision-making tools. This course introduces students to a sequence of courses that cover sustainable neighborhoods, building health, and infrastructure projects. It demonstrates how intentional design, planning, and leadership within the built environment sector can contribute to urban resiliency by creating efficiencies, incorporating ecological services, and enhancing human health. Synergies between the principles of site design, building performance, and resource use connect healthy built environments to healthy communities at the level of scale, with resiliency a point of emphasis throughout the course. To do this, we present innovative strategies for sustainable urban infrastructure planning, applying existing research on environmental linkages to guidelines and prototypes for practice. Students learn green building principles, and pay attention to inputs/outputs of four main environmental resources—energy, water, material and solid waste, and landand become familiar with international standards for sustainable design, operations, and management of buildings, strategies for landscape design, healthy building material use, neighborhood design, and project criteria developed to address the environmental and human health concerns that accompany urbanization. Frameworks include the US Green Building Councils LEED ratings systems for buildings and communities, the International Living Future Institutes Declare program, Biophilic Cities Network criteria, New York City's Active Design Guidelines, and the Zofnass Envision program.|Fall Term 2016|Online w/ required on-campus weekend|14866
ENVR E-119B Sustainable Buildings: Optimizing the Performance of Existing Buildings|Emil Cuevas-Melendez|http://extension.harvard.edu/academics/courses/sustainable-buildings-optimizing-performance-existing-buildings/14847|This is an advanced sustainable design course with technical content that focuses on energy use reduction in existing buildings. Students learn to perform American Society of Heating, Refrigerating, and Air Conditioning Engineers (ASHRAE) Level II Energy Audits. Topics covered include the ASHRAE Level II energy audit process, identifying and calculating energy conservation measures, understanding and optimizing building automation systems, advanced life cycle cost analysis and greenhouse gas calculations, use of energy codes and standards, and financial incentive calculations.|Fall Term 2016|Live web conference w/ required on-campus weekend|14847
ENVR E-119D Zero Energy in the Built Space|Paul Ormond|http://extension.harvard.edu/academics/courses/zero-energy-built-space/24776|Zero energy buildings, also known as net zero energy buildings are buildings (or a community of buildings) which produce with on-site renewables the same amount of energy as they consume, on an annual basis. Typically, a zero energy building consists of a highly-efficient building with rooftop, or site mounted, photovoltaic system. Zero energy is very scalable from single family homes to large commercial buildings to districts or communities of buildings. Once the realm of the most ambitious building owners willing to take significant financial risks, experience, technology, and financing mechanisms have begun to evolve to the point where a zero energy building can cost less to own and operate than a traditional code building. Indeed, Massachusetts is now beginning to see the emergence of spec-built zero energy homes, targeted at the affordable, low-income housing market. Other emerging trends include Executive Order 13514, which requires all new federal buildings to be designed to be zero energy by 2030, as well as various state and municipal initiatives. In the next few decades, it's possible that a large portion of new construction could be zero energy, either by code or by economics. This course provides a comprehensive exploration of zero energy buildings including building energy dynamics and renewable system fundamentals; energy economics, energy budgets, and site and source energy; relevant policy, codes, financing, and incentive structures; state of practice in zero energy design and construction, for both residential scale and commercial/institutional scale; case studies to demonstrate feasibility, key concepts, and lessons learned; the benefits and challenges zero energy imposes on the energy grid; the value zero energy can have in advancing security and resilience.|Spring Term 2017|On campus with online option|24776
ENVR E-119E Sustainable Infrastructure: The Envision Rating System Approach|Vicky Sagia|http://extension.harvard.edu/academics/courses/sustainable-infrastructure-envision-rating-system-approach/24777|The Envision tool for sustainable infrastructure can be used for infrastructure projects of all types, sizes, complexities, and locations to assist the project team achieve higher levels of sustainability. It was originally developed by the Zofnass Program at the Harvard Graduate School of Design, and it is currently offered by the Institute for Sustainable Infrastructure (ISI). A set of sixty sustainability criteria arranged in the categories of quality of life, leadership, resource allocation, natural world, and climate and risk are the core of Envision. While these criteria can be used to guide the decision making process, a third-party project verification and award program is available to recognize projects that have achieved higher levels of sustainability. Envision is a valuable resource for all the stakeholders involved in the development of infrastructure, including engineers, owners, policy makers, community groups, and construction workers. Professionals trained in the use of Envision can be credentialed by ISI as Envision sustainability professionals. The course delves into the methodology and criteria of Envision, using them as a foundation for exploring the technical and organizational dimensions of sustainable infrastructure design. It covers how the tool offers a guide through the various phases of a project, from the first planning steps developing the project brief and purpose, to avoiding traps and vulnerabilities in the long term. The interdependencies between design decisions, technical considerations, and the impacts on the adjacent communities and natural environment are discussed. Experts from the industry and academia are invited to cover key points of the Envision methodology such as the principles of life cycle analysis and methods for meaningful engagement with members of the public and other stakeholder groups. Case studies of the first projects successfully rated and awarded through Envision are analyzed to offer examples of best practices and strong leadership, and a better understanding of the benefits and challenges of the rating process.|Spring Term 2017|Online (live) web conference|24777
ENVR E-120 Environmental Ethics and Land Management|Timothy C. Weiskel|http://extension.harvard.edu/academics/courses/environmental-ethics-land-management/11926|This course examines the ethical dilemmas faced by human cultures throughout history in their use of land and natural resources. Topics include the environmental ethics of game and wildlife management, natural resource use, water management, biological diversity, fisheries, ocean protection, and agricultural production. Emphasis is given to different perceptions of the environment in different cultures and historical periods in human history. Special attention is given to the implicit assumptions that different cultures bring to their understanding of the land and how it should be managed. The tensions between urban, suburban, agricultural, ranching, and mining communities over the management of federal land, water projects, national wildlife areas, national forests, and national parks receive emphasis. Problems of global environmental ethics in the face of regional food shortages, water scarcity and the growth of international environmental refugees receive particular attention.|Fall Term 2016|On campus with online option|11926
